date,open,high,low,close,close_prev,change_pct,volume,amount,turnover
2017/3/27,22.64,22.97,22.33,22.9,22.62,1.2378,3199056,72438293.77,0.7886
2017/3/28,22.78,23.08,22.26,22.27,22.9,-2.7511,2491800,56133107.96,0.6142
2017/3/29,22.14,22.47,21.65,21.65,22.27,-2.784,2659788,58272377.08,0.6556
2017/3/30,21.65,21.89,21.42,21.6,21.65,-0.2309,2126548,46032930.8,0.5242
2017/3/31,21.59,21.92,21.08,21.14,21.6,-2.1296,2227862,47618367.38,0.5492
2017/4/5,21.17,21.4,21,21.28,21.14,0.6623,2501587,53082770.62,0.6166
2017/4/6,21.27,21.53,21.1,21.52,21.28,1.1278,1865473,39782141.64,0.4598
2017/4/7,21.51,21.59,21.16,21.16,21.52,-1.6729,1531873,32722796.19,0.3776
2017/4/10,21.01,21.48,21.01,21.14,21.16,-0.0945,1413414,29968034.32,0.3484
2017/4/11,21.15,21.66,21.05,21.5,21.14,1.7029,2188966,46796137.83,0.5396
2017/4/12,21.82,22.25,21.53,21.77,21.5,1.2558,3273146,71647763.79,0.8068
2017/4/13,21.7,22.3,21.7,21.79,21.77,0.0919,2703230,59544777.59,0.6663
2017/4/14,21.95,22.05,21.46,21.6,21.79,-0.872,1832628,39660201.18,0.4517
2017/4/17,21.51,21.53,20.94,21.18,21.6,-1.9444,1607743,34102490.12,0.3963
2017/4/18,21.13,21.3,20.88,20.94,21.18,-1.1331,1212138,25552305.02,0.2988
2017/4/19,20.51,20.93,20.1,20.88,20.94,-0.2865,2088209,42621264.98,0.5147
2017/4/20,21.3,21.3,20.83,20.85,20.88,-0.1437,1049600,22045850.2,0.2587
2017/4/21,20.9,20.9,19.8,19.8,20.85,-5.036,1551050,31551097.42,0.3823
2017/4/24,19.9,20.06,18.56,19.24,19.8,-2.8283,1674957,32191373.21,0.4129
2017/4/25,19.26,19.6,19.26,19.33,19.24,0.4678,814669,15848437.15,0.2008
2017/4/26,19.36,19.72,19.22,19.63,19.33,1.552,825378,16161591.54,0.2035
2017/4/27,19.59,19.84,19.47,19.73,19.63,0.5094,1024517,20155170.14,0.2525
2017/4/28,19.73,20.05,19.58,19.97,19.73,1.2164,1010276,20083462.81,0.249
2017/5/2,20,20.44,19.88,19.88,19.97,-0.4507,1613509,32524429.53,0.3977
2017/5/3,19.88,20.23,19.6,19.65,19.88,-1.1569,1183253,23594494.87,0.2917
2017/5/4,19.6,20.18,19.6,20.1,19.65,2.2901,1530229,30586088.85,0.3772
2017/5/5,19.93,20.21,19.93,19.94,20.1,-0.796,1090190,21852987.18,0.2687
2017/5/8,19.95,20.23,19.78,19.94,19.94,0,737151,14764633.83,0.1817
2017/5/9,19.87,19.87,19.02,19.1,19.94,-4.2126,3302805,63596759.78,0.8141
2017/5/10,19.18,19.38,18.93,19,19.1,-0.5236,1141051,21832280.98,0.2813
2017/5/11,18.89,19.1,17.12,18.07,19,-4.8947,3053497,54961245.68,0.7527
2017/5/12,18.05,18.1,17.6,17.69,18.07,-2.1029,1515391,26938314.33,0.3735
2017/5/15,17.75,17.93,17.54,17.62,17.69,-0.3957,629406,11143073.72,0.1551
2017/5/16,17.67,17.75,17.16,17.75,17.62,0.7378,1604898,27900301.67,0.3956
2017/5/17,17.63,17.88,17.51,17.61,17.75,-0.7887,1439576,25485248.97,0.3549
2017/5/18,17.4,17.63,17.3,17.34,17.61,-1.5332,1049274,18277452.94,0.2586
2017/5/19,17.38,17.5,17.36,17.5,17.34,0.9227,877661,15301547.4,0.2163
2017/5/22,17.56,17.68,16.61,16.65,17.5,-4.8571,2051017,35087965.4,0.5056
2017/5/23,16.6,16.76,16.06,16.15,16.65,-3.003,2078556,34227535.45,0.5124
2017/5/24,16.08,16.87,15.37,16.81,16.15,4.0867,2753640,44849757.35,0.6788
2017/5/25,16.77,16.84,16.35,16.71,16.81,-0.5949,1512420,25128178.09,0.3728
2017/5/26,16.65,17.5,16.58,17.18,16.71,2.8127,2315632,39360868.78,0.5708
2017/5/31,17.16,17.5,17,17.01,17.18,-0.9895,979399,16832449.75,0.2414
2017/6/1,17,17.19,16.3,16.33,17.01,-3.9976,977868,16422501.06,0.241
2017/6/2,16.19,16.76,16.1,16.5,16.33,1.041,956230,15667595.42,0.2357
2017/6/5,16.54,16.85,16.32,16.8,16.5,1.8182,1015801,16937239.96,0.2504
2017/6/6,16.8,16.97,16.62,16.81,16.8,0.0595,897885,15091288.27,0.2213
2017/6/7,16.66,17.19,16.66,17.02,16.81,1.2493,1339756,22809635.25,0.3302
2017/6/8,17.2,17.22,16.91,16.93,17.02,-0.5288,1112887,18953898.41,0.2743
2017/6/9,16.9,17.17,16.89,17.08,16.93,0.886,2042148,34714350.81,0.5034
