date,close_prev,摊薄每股收益.元.,加权每股收益.元.,每股收益_调整后.元.,每股净资产_调整前.元.,每股净资产_调整后.元.,每股经营性现金流.元.,每股资本公积金.元.,每股未分配利润.元.,总资产利润率...,主营业务利润率...,总资产净利润率...,成本费用利润率...,营业利润率...,主营业务成本率...,销售净利率...,股本报酬率...,净资产报酬率...,资产报酬率...,三项费用比重,非主营比重,主营利润比重,主营业务利润.元.,净资产收益率...,加权净资产收益率...,主营业务收入增长率...,净利润增长率...,净资产增长率...,总资产增长率...,应收账款周转率.次.,应收账款周转天数.天.,存货周转天数.天.,存货周转率.次.,总资产周转率.次.,总资产周转天数.天.,流动资产周转率.次.,流动资产周转天数.天.,股东权益周转率.次.,流动比率,速动比率,现金比率...,利息支付倍数,股东权益比率...,负债与所有者权益比率...,资本固定化比率...,产权比率...,资产负债率...,总资产.元.,经营现金净流量对销售收入比率...,资产的经营现金流量回报率...,经营现金净流量对负债比率...,现金流量比率...
2011/12/31,18.56,0.581,0.62,0.62,7.6143,7.61,0.4584,5.7126,0.6502,7.4584,70.922,11.6365,80.909,42.8156,28.3713,39.4144,84.7351,11.1283,10.8773,27.9513,7.2089,153.7042,83638786.26,7.63,9.52,8.3166,8.2836,414.1258,254.7372,5.0291,71.5834,102.3047,3.5189,0.2952,1219.5122,0.4056,887.574,0.3241,36.3522,35.6457,3196.1581,-504.165,97.7437,2.3084,18.3937,2.3084,2.2563,623209379.8,0.311,0.0588,2.6079,260.7918
2012/3/31,17.22,0.1477,0.15,0.15,7.762,7.76,0.1485,5.7126,0.7979,1.8566,73.4298,1.876,68.6363,40.6628,26.016,34.6364,14.7688,1.9027,1.8566,32.7988,0.2107,180.2018,25048204.74,1.9,1.92,20.4137,31.0863,2.863,-4.5722,1.2662,71.0788,109.7427,0.8201,0.0542,1660.5166,0.0665,1353.3835,0.0555,33.3733,32.6149,2918.6759,-559.1537,97.5746,2.4856,19.5314,2.4856,2.4254,636397964,0.3482,0.0187,0.7696,76.9602
2012/6/30,21.12,0.4843,0.48,0.48,8.0986,8.1,0.3896,5.7126,1.0619,5.8197,74.4349,6.0115,115.4774,53.1202,24.9712,47.1079,76.7038,9.4712,9.2178,21.007,1.2273,138.4056,61215645.43,5.98,6.16,42.8309,88.6128,5.3125,5.9111,2.4651,73.0194,97.0403,1.8549,0.1276,1410.6583,0.1572,1145.0382,0.1308,30.0512,29.3659,2605.7321,-555.5818,97.324,2.7496,20.1222,2.7496,2.676,665703745.5,0.379,0.0468,1.7495,174.9489
2012/9/30,16.81,0.3676,0.37,0.37,3.8748,3.87,0.3724,2.3563,0.3564,9.2051,74.0808,9.3196,115.0054,53.1768,25.2657,46.6254,36.7576,9.4864,9.2051,20.8469,1.1283,137.7385,93443659.36,9.49,9.21,47.5422,76.846,4.0337,5.0837,4.3217,62.4754,92.2919,2.9255,0.1999,1350.6753,0.2473,1091.7913,0.2053,26.871,26.2455,2349.5492,-572.8481,97.0343,3.0563,20.9302,3.0563,2.9657,638907998.3,0.4724,0.0933,3.1446,314.4588
2012/12/31,15.66,0.4812,0.48,0.48,3.9883,3.9883,0.4918,2.3563,0.4341,11.8187,74.2515,12.0801,111.3517,51.2665,25.0551,46.8827,63.9632,16.0375,15.7108,22.9282,5.4164,136.9894,121930731.4,12.06,12.11,39.2455,65.63,4.7587,4.5241,5.5596,64.7529,86.7951,4.1477,0.2577,1396.9732,0.3185,1130.2983,0.2633,39.1841,38.4377,3446.0122,-570.7703,97.9631,2.0793,20.6038,2.0793,2.0369,651404286.8,0.4792,0.1208,5.9301,593.0083
2013/3/31,23.29,0.0517,0.05,0.05,4.0401,4.0401,0.0257,2.3563,0.4858,1.257,70.473,1.2637,50.2576,33.1242,28.8049,28.5129,5.1724,1.2803,1.257,37.2182,1.253,210.0876,20454829.64,1.28,1.29,-14.9118,-29.9548,4.0982,3.4558,0.8863,101.5458,112.6408,0.799,0.0443,2031.6027,0.0557,1615.7989,0.0452,43.5346,42.6144,3773.2489,-205.3254,98.1805,1.8532,21.1748,1.8532,1.8195,658390724.9,0.1418,0.0063,0.3437,34.3692
2013/6/30,14.79,0.1193,0.12,0.12,4.1076,4.1076,0.1254,2.3563,0.5534,2.8488,70.1236,2.8886,54.4534,34.6041,29.1313,30.1132,29.9487,7.291,7.1535,35.4637,2.7425,197.0876,44437638.28,2.9,2.95,-22.945,-50.7433,1.4399,0.6233,1.9529,92.1706,98.5222,1.827,0.0959,1876.9552,0.1218,1477.8325,0.0978,41.1776,40.362,3594.0437,-248.3622,98.1138,1.9225,22.7598,1.9225,1.8862,669853247.1,0.3167,0.03,1.5885,158.8524
2013/9/30,16.67,0.1997,0.2,0.2,3.938,3.938,0.256,2.3563,0.3838,4.701,70.8598,4.8004,61.3239,37.113,28.429,32.7714,19.9659,5.0701,4.701,33.8919,3.9861,183.3193,69073898.85,5.07,4.88,-22.7195,-45.6822,1.6325,6.3604,3.4493,78.2768,93.0521,2.9016,0.1465,1843.0034,0.1872,1442.3077,0.1537,10.5477,10.3617,937.4581,-287.7956,92.721,7.8505,25.0465,7.8505,7.279,679545202.3,0.4203,0.0603,0.8282,82.8224
2013/12/31,14.72,0.2617,0.26,0.26,4.0001,4.0001,0.3512,2.3563,0.4066,6.4131,71.4377,6.4208,58.0552,35.0338,27.9021,32.6005,46.2039,11.5508,11.3215,36.5537,7.3261,188.9722,91762544.53,6.54,6.45,-21.7778,-45.6071,0.2939,0.2406,4.8501,74.2253,90.1059,3.9953,0.197,1827.4112,0.2559,1406.7995,0.201,48.169,47.3693,4289.4591,-293.0246,98.0152,2.025,26.3822,1.5704,1.9848,652971793.6,0.4375,0.0861,4.3358,559.1131
2014/3/31,18.38,0.0835,0.08,0.08,4.0836,4.0836,0.1116,2.3563,0.4901,1.9122,74.3726,1.9773,79.337,44.2458,25.0441,37.637,8.3535,2.0456,1.9122,30.1874,0.0812,167.953,26411173.19,2.05,2.07,22.3493,61.5011,1.0776,6.1626,1.7542,51.3054,99.7009,0.9027,0.0525,1714.2857,0.0702,1282.0513,0.0549,12.3492,12.0758,1110.1125,-415.0769,93.4778,6.9773,26.3138,6.5319,6.5222,698964700.8,0.503,0.0256,0.3918,41.8534
2014/6/30,16.9,0.2027,0.2,0.2,4.2028,4.2028,0.1405,2.3563,0.6093,4.6578,72.4521,4.8078,83.7551,45.3294,26.9521,39.1991,41.7932,9.9441,9.602,26.6646,0.1682,159.5659,59954606.05,4.82,4.94,30.5825,69.9823,2.3174,3.9649,2.7578,65.2694,83.3642,2.1592,0.1226,1468.1892,0.1665,1081.0811,0.1261,24.2177,23.6182,2067.2918,-577.281,96.5591,3.5636,27.7425,3.1308,3.4409,696411991.2,0.2718,0.0323,0.9384,106.815
2014/9/30,37,0.293,0.29,0.29,3.993,3.993,0.2815,2.3563,0.3995,7.115,71.422,7.1466,83.111,44.5037,27.9344,39.0297,29.2957,7.3367,7.115,26.7267,3.1777,155.3858,85774907.99,7.34,7.07,23.201,46.7284,1.3972,-3.0538,4.5428,59.4347,75.5837,3.5722,0.1831,1474.604,0.2504,1078.2748,0.1878,27.9513,27.3192,2402.9171,-562.9153,96.978,3.1162,28.7464,2.6607,3.022,658793072.9,0.375,0.0684,2.2621,264.9394
2014/12/31,39.5,0.3563,0.36,0.36,4.0563,4.0563,0.3668,2.3563,0.4095,8.5368,70.7082,8.6324,70.885,40.571,28.6203,36.2662,60.8883,15.0106,14.5895,29.9777,3.4326,168.2999,111141894,8.78,8.68,22.3686,36.1279,1.4069,2.263,5.5914,64.3846,67.6984,5.3177,0.238,1512.605,0.3238,1111.7974,0.2439,30.2889,29.7363,2614.0126,-494.598,97.1946,2.8863,27.8723,2.4766,2.8054,667748697.1,0.3734,0.0879,3.1328,365.1071
2015/3/31,80.9,0.0845,0.08,0.08,4.1408,4.1408,0.1059,2.3563,0.4939,1.982,69.0563,2.0028,67.181,39.7671,30.7584,34.4002,8.4467,2.0399,1.982,29.3093,1.7577,170.5993,27130124.77,2.04,2.06,10.6303,1.1159,1.401,-2.4465,1.1656,77.2135,73.8492,1.2187,0.0582,1546.3918,0.0793,1134.9306,0.0599,29.9914,29.3397,2598.177,-420.4813,97.1646,2.9181,26.8682,2.5357,2.8354,681864301.9,0.4313,0.0248,0.8763,100.8488
2015/6/30,119.57,1.368,1.37,1.37,3.4754,3.4754,1.5268,0.4776,1.6789,28.9137,73.6801,43.9741,91.4657,47.3415,21.5332,36.306,148.5105,42.7316,31.3889,26.2987,1.6342,153.0921,1243754301,39.36,48.68,1939.9167,1789.3586,131.5404,204.3638,33.5182,5.3702,41.4203,4.3457,1.2112,148.6129,1.6757,107.4178,1.5304,2.7583,2.4724,224.2348,-8155.1055,73.4559,36.1361,38.0037,35.5768,26.5441,2119626133,0.4052,0.3227,1.2157,123.4819
2015/9/30,41.3,0.7824,0.78,0.78,1.3361,1.3361,0.7127,0.4776,0.2464,39.1863,72.9288,57.0705,71.4349,40.8552,22.2536,31.8869,78.2395,58.5576,39.1863,32.0443,3.2533,172.6982,1603322240,58.56,53.73,1730.5992,1395.584,87.3821,171.5503,40.2244,6.7123,31.5727,8.5517,1.7898,150.8548,2.9163,92.5831,2.3817,1.7498,1.5689,134.2785,-5267.9715,66.9193,49.4338,64.1603,48.7338,33.0807,1788954244,0.2905,0.357,1.0791,109.4617
2015/12/31,43.63,0.5583,0.56,0.56,1.112,1.112,0.4278,0,-0.0049,27.492,71.2943,40.2221,38.1304,26.411,23.664,21.2742,62.9403,56.6024,30.9957,44.8462,5.8285,254.2081,1676270544,50.2,46.22,1395.8253,777.4688,53.5135,172.4726,42.7323,8.4245,37.8056,9.5224,1.8907,190.4057,3.4081,105.6307,2.858,1.0957,0.9632,71.2811,-3656.6169,54.7603,82.614,92.9942,81.7937,45.2397,1819431913,0.163,0.2107,0.4657,47.034
2016/3/31,25.74,-0.071,-0.07,-0.07,1.041,1.041,-0.1768,0,-0.0759,-3.46,67.99,-3.477,-25.9986,-53.069,28.7687,-29.3789,-7.0954,-6.8158,-3.46,121.0451,-33.3652,-170.8623,147126940.1,-6.82,-6.59,450.8059,-570.406,40.7863,169.4647,2.8994,31.0409,139.4052,0.6456,0.1184,760.1351,0.2526,356.2945,0.2244,0.9146,0.82,57.568,-2847.5288,50.7653,96.9851,109.0578,96.1376,49.2347,1837383376,-0.7321,-0.0862,-0.1751,-17.6672
2016/6/30,21.83,-0.1617,-0.16,-0.16,0.9503,0.9503,-0.2848,0,-0.1666,-7.3944,69.5092,-7.6677,-29.8525,-52.6304,25.7074,-34.5211,-7.6614,-8.0621,-3.504,122.2757,-15.4057,-152.4168,291684849.6,-17.01,-15.68,-75.1408,-123.6371,-45.3135,-7.5735,7.0306,25.6024,161.0306,1.1178,0.2221,810.4457,0.487,369.6099,0.4542,0.7551,0.6778,47.0715,-2320.0256,43.4621,130.0855,132.5364,129.1886,56.5379,1959095979,-0.6081,-0.1303,-0.2304,-23.1999
2016/9/30,21.09,-0.1166,-0.12,-0.12,0.9954,0.9954,-0.2382,0,-0.1215,-5.16,68.8586,-5.4347,-15.1946,-27.7537,26.8129,-14.007,-11.6564,-11.7102,-5.16,96.6154,-42.9706,-354.7191,513435531.7,-11.71,-11.06,-66.0839,-114.8984,-25.4996,13.1417,10.5136,25.681,119.2264,2.2646,0.388,695.8763,0.8385,322.0036,0.7898,0.7879,0.7269,51.0827,-887.4114,44.0643,126.941,127.645,126.0289,55.9357,2024053301,-0.2862,-0.1054,-0.1885,-18.9883
2016/12/31,19.98,-0.1579,-0.16,-0.16,1.718,1.718,-0.2827,0.7681,-0.167,-5.9927,67.6613,-6.8818,-17.3438,-29.4162,27.1809,-15.887,-5.132,-2.9872,-1.9477,97.102,-31.0302,-301.3872,626152764.2,-9.19,-15.93,-60.6404,-129.3928,60.549,34.841,14.1522,25.4377,129.7204,2.7752,0.4332,831.0249,0.9129,394.3477,0.713,1.3417,1.255,103.6514,-871.4102,65.2006,53.3729,82.4526,52.8603,34.7994,2453340545,-0.2845,-0.1073,-0.3084,-31.1352
2017/3/31,21.6,0.022,0.02,0.02,1.74,1.74,0.0669,0.7681,-0.145,0.9779,68.176,0.9017,10.6067,9.2382,27.6531,7.4812,2.2041,1.2667,0.9779,58.8338,3.9272,708.9962,187022346.9,1.27,1.27,26.7695,-98.49426,73.6919,14.213,4.3548,20.6669,84.9137,1.0599,0.1205,746.888,0.2931,307.0624,0.1704,1.5668,1.4184,110.3692,975.1016,77.2023,29.5297,84.0207,29.0458,22.7977,2098530714,0.2272,0.0297,0.1303,13.2444
2017/6/30,16.53,0.084,0.08,0.08,1.8019,1.8019,0.0894,1.016,-0.083,3.7143,66.2688,3.4302,20.0002,13.1197,29.1344,15.0517,21.6727,12.0276,9.5879,55.6786,26.6322,370.587,344183982.3,4.66,4.77,23.7685,-72.47784,97.0449,7.4315,8.9271,20.1633,86.3599,2.0843,0.2279,789.8201,0.5554,324.0907,0.3169,1.7639,1.5916,124.5587,2526.0899,79.7158,25.4456,81.5814,24.8679,20.2842,2104685648,0.1602,0.0395,0.1949,19.9425
2017/9/30,17.8,0.1911,0.16,0.16,2.4752,2.4752,0.1902,1.3508,-0.0309,6.2372,66.2596,5.8198,24.2387,17.345,29.4214,16.6442,19.1094,7.7202,6.2372,50.9178,15.4732,322.9015,532743722.7,7.72,8.03,7.8305,-41.5793,94.3541,6.0037,13.8905,19.4377,81.1615,3.3267,0.3497,772.0904,0.8448,319.6023,0.4825,1.9086,1.7375,131.2045,3376.5518,80.7904,23.7771,79.4172,23.2421,19.2096,2145572026,0.1656,0.0621,0.3231,33.0568
2017/12/31,13.21,0.2608,0.22,0.22,2.5449,2.5449,0.3497,1.3508,0.0328,7.8736,66.5416,7.6532,24.2196,20.0414,29.0275,15.5851,46.9013,18.4292,14.1591,48.5666,-0.8822,334.9504,779818637,10.25,10.8,26.6368,-10.68076,11.4182,-5.4462,16.3942,21.959,79.7554,4.5138,0.4911,733.0483,1.1676,308.3248,0.6931,1.8064,1.6461,126.8705,5622.3871,76.8296,30.1582,81.1807,27.1135,23.1704,2319727769,0.209,0.1056,0.4557,50.6841
2018/3/31,14.74,0.036,0.04,0.04,2.6726,2.6726,-0.0142,1.4457,0.0683,1.0782,63.8663,1.0923,14.8861,12.9014,31.6932,10.3608,3.6046,1.3487,1.0782,51.0736,0.6191,491.9698,158257814.6,1.35,1.38,-9.6702,25.0999,17.496,13.4658,2.6692,33.718,90.9918,0.9891,0.1054,853.8899,0.2734,329.188,0.1345,2.2181,2.026,156.3348,7325.8949,79.9445,25.0868,75.7144,22.259,20.0555,2381115184,-0.041,-0.0043,-0.0213,-2.3953
2018/6/30,13.04,0.148,0.11,0.11,3.5256,3.5256,0.1281,2.2915,0.1912,3.5082,63.6233,3.4498,19.0891,16.4107,31.7061,14.1673,48.6275,13.7925,11.5245,52.8282,3.6277,373.6302,353490833.6,4.2,4.31,6.9745,0.6893,11.7397,6.6043,6.6181,27.1981,79.5897,2.2616,0.2435,739.2197,0.6818,264.007,0.3039,2.3987,2.1504,158.2094,-7109.4708,83.5559,19.6804,79.3053,16.8322,16.4441,2243686016,0.1226,0.0304,0.1847,21.5895
