"","V1"
"1","39.4264"
"2","31.8164"
"3","35.6734"
"4","38.8994"
"5","39.4144"
"6","34.6364"
"7","47.1079"
"8","46.6254"
"9","46.8827"
"10","28.5129"
"11","30.1132"
"12","32.7714"
"13","32.6005"
"14","37.637"
"15","39.1991"
"16","39.0297"
"17","36.2662"
"18","34.4002"
"19","36.306"
"20","31.8869"
"21","21.2742"
"22","-29.3789"
"23","-34.5211"
"24","-14.007"
"25","-15.887"
"26","7.4812"
"27","15.0517"
"28","16.6442"
"29","15.5851"
"30","10.3608"
"31","14.1673"
"32","15.2773"
"33","10.0573"
"34","14.949"
"35","21.4981"
"36","22.4776"
"37","20.4441"
"38","18.2456"
"39","26.8875"
"40","28.9193"
"41","27.7938"
"42","25.2789"
"43","30.3888"
"44","29.3632"
