"","date","close_prev"
"1",2011-03-25,26
"2",2011-03-28,33.61
"3",2011-03-29,30.4
"4",2011-03-30,29.04
"5",2011-03-31,28.95
"6",2011-04-01,28.54
"7",2011-04-06,28.24
"8",2011-04-07,28.35
"9",2011-04-08,29
"10",2011-04-11,28.88
"11",2011-04-12,28.02
"12",2011-04-13,27.35
"13",2011-04-14,27.59
"14",2011-04-15,27.18
"15",2011-04-18,26.68
"16",2011-04-19,26.82
"17",2011-04-20,27.01
"18",2011-04-21,27
"19",2011-04-22,27.07
"20",2011-04-25,27.04
"21",2011-04-26,26.3
"22",2011-04-27,25.92
"23",2011-04-28,25.68
"24",2011-04-29,24.99
"25",2011-05-03,24.6
"26",2011-05-04,24.65
"27",2011-05-06,24.21
"28",2011-05-09,23.7
"29",2011-05-10,23.89
"30",2011-05-11,23.99
"31",2011-05-12,24.29
"32",2011-05-13,24.41
"33",2011-05-16,24.81
"34",2011-05-17,24.57
"35",2011-05-18,24.35
"36",2011-05-19,24.3
"37",2011-05-20,24.13
"38",2011-05-23,23.8
"39",2011-05-24,22.7
"40",2011-05-25,22.58
"41",2011-05-26,22.6
"42",2011-05-27,22.33
"43",2011-05-30,21.53
"44",2011-05-31,21.48
"45",2011-06-01,21.82
"46",2011-06-02,22.2
"47",2011-06-03,21.69
"48",2011-06-07,21.96
"49",2011-06-09,21.88
"50",2011-06-10,21.05
"51",2011-06-13,20.56
"52",2011-06-14,20.09
"53",2011-06-15,20.43
"54",2011-06-16,20.15
"55",2011-06-17,19.77
"56",2011-06-20,20.43
"57",2011-06-21,20.03
"58",2011-06-22,20.4
"59",2011-06-23,20.39
"60",2011-06-24,21.81
"61",2011-06-27,21.95
"62",2011-06-28,21.8
"63",2011-06-29,21.8
"64",2011-06-30,21.3
"65",2011-07-01,21.47
"66",2011-07-04,21.8
"67",2011-07-05,22.23
"68",2011-07-06,22.35
"69",2011-07-07,22.87
"70",2011-07-08,23.15
"71",2011-07-11,24.19
"72",2011-07-12,24.25
"73",2011-07-13,24.05
"74",2011-07-14,24.8
"75",2011-07-15,25.1
"76",2011-07-18,24.96
"77",2011-07-19,24.3
"78",2011-07-20,23.79
"79",2011-07-21,24.32
"80",2011-07-22,23.93
"81",2011-07-25,23.82
"82",2011-07-26,22.52
"83",2011-07-27,22.97
"84",2011-07-28,23.38
"85",2011-07-29,23.38
"86",2011-08-01,23.68
"87",2011-08-02,24.25
"88",2011-08-03,24.14
"89",2011-08-04,24.35
"90",2011-08-05,23.9
"91",2011-08-08,23.2
"92",2011-08-09,21.55
"93",2011-08-10,21.79
"94",2011-08-11,21.9
"95",2011-08-12,22.18
"96",2011-08-16,22.51
"97",2011-08-17,24.76
"98",2011-08-18,24.92
"99",2011-08-19,23.6
"100",2011-08-22,24.38
"101",2011-08-23,25.03
"102",2011-08-24,25.11
"103",2011-08-25,24.76
"104",2011-08-26,24.8
"105",2011-08-29,25.6
"106",2011-08-30,26.49
"107",2011-08-31,25.94
"108",2011-09-01,24.7
"109",2011-09-02,24.75
"110",2011-09-05,24.27
"111",2011-09-06,23.3
"112",2011-09-07,23.46
"113",2011-09-08,24.34
"114",2011-09-09,24.27
"115",2011-09-13,23.95
"116",2011-09-14,24.1
"117",2011-09-15,25.01
"118",2011-09-16,24.88
"119",2011-09-19,24.79
"120",2011-09-20,24.15
"121",2011-09-21,24.7
"122",2011-09-22,25.7
"123",2011-09-23,25.11
"124",2011-09-26,26.03
"125",2011-09-27,26.55
"126",2011-09-28,25.95
"127",2011-09-29,26.47
"128",2011-09-30,24.19
"129",2011-10-10,24.1
"130",2011-10-11,24.4
"131",2011-10-12,25.19
"132",2011-10-13,26.38
"133",2011-10-14,26.58
"134",2011-10-17,26.31
"135",2011-10-18,28.12
"136",2011-10-19,26.8
"137",2011-10-20,26.38
"138",2011-10-21,27.5
"139",2011-10-24,27.27
"140",2011-10-25,29.34
"141",2011-10-26,29.45
"142",2011-10-27,28.99
"143",2011-10-28,29.91
"144",2011-10-31,29.34
"145",2011-11-01,29.3
"146",2011-11-02,29.1
"147",2011-11-03,29.18
"148",2011-11-04,28.6
"149",2011-11-07,29.86
"150",2011-11-08,29.07
"151",2011-11-09,28.4
"152",2011-11-10,28.7
"153",2011-11-11,27.95
"154",2011-11-14,28
"155",2011-11-15,28.45
"156",2011-11-16,27.57
"157",2011-11-17,26.72
"158",2011-11-21,26.77
"159",2011-11-22,25.8
"160",2011-11-23,25.78
"161",2011-11-24,25.54
"162",2011-11-25,25.01
"163",2011-11-28,24.89
"164",2011-11-29,25.7
"165",2011-11-30,25.76
"166",2011-12-01,23.8
"167",2011-12-02,24.16
"168",2011-12-05,23.1
"169",2011-12-06,22.5
"170",2011-12-07,22.72
"171",2011-12-08,22.6
"172",2011-12-09,22.8
"173",2011-12-12,22.67
"174",2011-12-13,22.4
"175",2011-12-14,21.1
"176",2011-12-15,20.86
"177",2011-12-16,20.6
"178",2011-12-19,21.43
"179",2011-12-20,21.46
"180",2011-12-21,21.37
"181",2011-12-22,20.5
"182",2011-12-23,20.15
"183",2011-12-26,20.47
"184",2011-12-27,20
"185",2011-12-28,19.2
"186",2011-12-29,18.52
"187",2011-12-30,18.56
"188",2012-01-04,18.72
"189",2012-01-05,17.6
"190",2012-01-06,16.52
"191",2012-01-09,16.98
"192",2012-01-10,17.72
"193",2012-01-11,18.39
"194",2012-01-12,18.54
"195",2012-01-13,18.52
"196",2012-01-16,17.5
"197",2012-01-17,16.96
"198",2012-01-18,18.18
"199",2012-01-19,17.59
"200",2012-01-20,17.85
"201",2012-01-30,18.08
"202",2012-01-31,18.29
"203",2012-02-01,18.31
"204",2012-02-02,18.12
"205",2012-02-03,18.31
"206",2012-02-06,18.44
"207",2012-02-07,19.32
"208",2012-02-08,18.78
"209",2012-02-09,19.33
"210",2012-02-10,19.29
"211",2012-02-13,19.18
"212",2012-02-14,19.58
"213",2012-02-15,19.38
"214",2012-02-16,19.56
"215",2012-02-17,19.43
"216",2012-02-20,19.37
"217",2012-02-21,20.15
"218",2012-02-22,20.17
"219",2012-02-23,20.5
"220",2012-02-24,20.66
"221",2012-02-27,20.71
"222",2012-02-28,20.61
"223",2012-02-29,20.21
"224",2012-03-01,20.54
"225",2012-03-02,21.34
"226",2012-03-05,21.5
"227",2012-03-06,21.3
"228",2012-03-07,21.35
"229",2012-03-08,20.86
"230",2012-03-09,20.93
"231",2012-03-12,21.34
"232",2012-03-13,21.46
"233",2012-03-14,21.51
"234",2012-03-15,20.33
"235",2012-03-16,19.82
"236",2012-03-19,20.34
"237",2012-03-20,20.65
"238",2012-03-21,20.02
"239",2012-03-22,20.11
"240",2012-03-23,19.95
"241",2012-03-26,19.4
"242",2012-03-27,19.58
"243",2012-03-28,19.64
"244",2012-03-29,17.8
"245",2012-03-30,17.22
"246",2012-04-05,17.05
"247",2012-04-06,17.5
"248",2012-04-09,17.71
"249",2012-04-10,16.71
"250",2012-04-11,17.42
"251",2012-04-12,17.41
"252",2012-04-13,18.35
"253",2012-04-16,19.77
"254",2012-04-17,19.75
"255",2012-04-18,19.78
"256",2012-04-19,19.56
"257",2012-04-23,19.42
"258",2012-04-24,19.19
"259",2012-04-25,19.15
"260",2012-04-26,19
"261",2012-04-27,19.11
"262",2012-05-02,18.83
"263",2012-05-03,19.46
"264",2012-05-04,20.44
"265",2012-05-07,20.3
"266",2012-05-08,20.4
"267",2012-05-09,20.35
"268",2012-05-10,20.6
"269",2012-05-11,20.48
"270",2012-05-14,20.23
"271",2012-05-15,20.7
"272",2012-05-16,20.47
"273",2012-05-17,20.13
"274",2012-05-18,20.26
"275",2012-05-21,19.53
"276",2012-05-22,19.45
"277",2012-05-23,19.85
"278",2012-05-24,19.56
"279",2012-05-25,19.54
"280",2012-05-28,18.91
"281",2012-05-29,19.1
"282",2012-05-30,19.29
"283",2012-05-31,19.28
"284",2012-06-01,19.45
"285",2012-06-04,19.5
"286",2012-06-05,18.79
"287",2012-06-06,18.93
"288",2012-06-07,18.69
"289",2012-06-08,18.83
"290",2012-06-11,18.8
