,goods,price,image,deal,name,location
0,【RiCO联名限定】RIO锐澳鸡尾酒微醺3度桃花米酿10罐低度气泡果酒,99.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1761481772/O1CN010MpyvG1OxcZmxF9eR_!!1761481772.jpg_580x580Q90.jpg,7000+人付款,rio锐澳旗舰店,上海
1,RIO锐澳预调鸡尾酒微醺小美好3度16口味330ml*20罐果酒低度气泡酒,198.00元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1761481772/O1CN01HDb6X61OxcZYBFXDn_!!0-item_pic.jpg_580x580Q90.jpg,2000+人付款,rio锐澳旗舰店,上海
2,RIO锐澳清爽5度微甜气泡鸡尾酒330ml×9罐+气泡水*1罐,58.80元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/6000000001141/O1CN01cZsoB41KIceSZZchD_!!6000000001141-0-picassoopen.jpg_580x580Q90.jpg,5000+人付款,天猫超市,上海
3,【领券减】日本原装进口三得利和乐怡预调鸡尾酒350mL*8低度果酒,139.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2207612002701/O1CN01zXp7tn1Vp6WDLP4lb_!!0-item_pic.jpg_580x580Q90.jpg,1万+人付款,三得利预调酒官方旗舰店,上海
4,RIO锐澳微醺联名rico预调鸡尾酒330ml*20罐气泡果味低度少女士酒,160.20元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2208384706729/O1CN01OCWjPE1zZvrm1YqoK_!!0-item_pic.jpg_580x580Q90.jpg,1000+人付款,圆兔食品专营店,上海
5,RIO锐澳微醺小美好加量不加价礼盒330ml*12洋酒预调鸡尾酒,88.00元,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/6000000007801/O1CN01XG7e5K27UuSAVfwkJ_!!6000000007801-0-picassoopen.jpg_580x580Q90.jpg,3000+人付款,天猫超市,上海
6,RIO锐澳3度微醺5口味330ml*8罐预调鸡尾酒组合组合装洋酒预调酒,104.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/6000000001628/O1CN01M82fP11NtfXKRdthZ_!!6000000001628-0-picassoopen.jpg_580x580Q90.jpg,3000+人付款,天猫超市,上海
7,RIO锐澳鸡尾酒果酒微醺小美好喵喵酒6口味330ml*10罐,104.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/6000000002661/O1CN01Q5H7A81VWmfqEchkU_!!6000000002661-0-picassoopen.jpg_580x580Q90.jpg,2000+人付款,天猫超市,上海
8,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,30.00元,https://g.alicdn.com/s.gif,2000+人付款,圆兔食品专营店,上海
9,【RiCO联名限定】RIO锐澳微醺预调酒3度桃花米酿低度果酒330ml*8,104.00元,https://g.alicdn.com/s.gif,1000+人付款,天猫超市,上海
