,item_loc,raw_title,view_price,view_sales,province,city,sales
0,上海,【RiCO联名限定】RIO锐澳鸡尾酒微醺3度桃花米酿10罐低度气泡果酒,99.00元,7000+人付款,上海,上海,7000
1,上海,RIO锐澳预调鸡尾酒微醺小美好3度16口味330ml*20罐果酒低度气泡酒,198.00元,2000+人付款,上海,上海,2000
2,上海,RIO锐澳清爽5度微甜气泡鸡尾酒330ml×9罐+气泡水*1罐,58.80元,5000+人付款,上海,上海,5000
3,上海,【领券减】日本原装进口三得利和乐怡预调鸡尾酒350mL*8低度果酒,139.00元,1万+人付款,上海,上海,10000
4,上海,RIO锐澳微醺联名rico预调鸡尾酒330ml*20罐气泡果味低度少女士酒,160.20元,1000+人付款,上海,上海,1000
5,上海,RIO锐澳微醺小美好加量不加价礼盒330ml*12洋酒预调鸡尾酒,88.00元,3000+人付款,上海,上海,3000
6,上海,RIO锐澳3度微醺5口味330ml*8罐预调鸡尾酒组合组合装洋酒预调酒,104.00元,3000+人付款,上海,上海,3000
7,上海,RIO锐澳鸡尾酒果酒微醺小美好喵喵酒6口味330ml*10罐,104.00元,2000+人付款,上海,上海,2000
8,上海,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,30.00元,2000+人付款,上海,上海,2000
9,上海,【RiCO联名限定】RIO锐澳微醺预调酒3度桃花米酿低度果酒330ml*8,104.00元,1000+人付款,上海,上海,1000
10,上海,RIO锐澳微醺小美好加量不加价330ml*12洋酒预调鸡尾酒,72.00元,300+人付款,上海,上海,300
11,浙江 杭州,【直营】日本进口 三得利和乐怡HOROYOI预调气泡鸡尾酒350ml*10听,200.00元,100+人付款,浙江,杭州,100
12,广东 广州,动力火车酒鸡尾酒套装洋酒基酒混合300ml*24瓶装整箱苏打酒正品,248.00元,200+人付款,广东,广州,200
13,上海,日本原装进口三得利和乐怡缤纷6罐350mL低度网红果酒预调鸡尾酒,48.00元,1000+人付款,上海,上海,1000
14,浙江 杭州,【直营】日本进口 三得利和乐怡HOROYOI预调鸡尾酒6口味350ml*6听,99.00元,100+人付款,浙江,杭州,100
15,上海,Fourloko四洛克酒进口预调鸡尾酒果味酒派对网红微醺特调酒4瓶装,156.00元,300+人付款,上海,上海,300
16,上海,rio微醺预调鸡尾酒气泡酒锐澳微醺鸡尾酒rio锐澳整箱20罐*330ml,169.40元,300+人付款,上海,上海,300
17,陕西 西安,RIO锐澳预调鸡尾酒微醺草莓乳酸菌伏特加口味330ml*24罐整箱果酒,36.00元,100+人付款,陕西,西安,100
18,湖北 武汉,【百威浮起茶酒】预调鸡尾酒起泡酒低卡女士微醺气泡酒甜果酒3罐,39.90元,1万+人付款,湖北,武汉,10000
19,上海,RIO锐澳微醺联名rico预调鸡尾酒330ml*20罐洋气泡酒果酒少女饮料,160.20元,300+人付款,上海,上海,300
20,上海,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,30.00元,1000+人付款,上海,上海,1000
21,上海,fourloko四洛克预调鸡尾酒新品墨西哥进口网红高度水果味酒一瓶装,29.70元,800+人付款,上海,上海,800
22,上海,女神节rio锐澳微醺清爽330ml*6微醺小美好气泡鸡尾酒少女果酒整箱,57.00元,1000+人付款,上海,上海,1000
23,广东 深圳,日本三得利和乐怡微醺SUNTORY白桃限定凤梨果酒ほろい草莓鸡尾酒,66.00元,500+人付款,广东,深圳,500
24,上海,RIO锐澳微醺3口味洋酒预调鸡尾酒330ml×3罐,40.00元,600+人付款,上海,上海,600
25,上海,RIO锐澳预调鸡尾酒8度强爽白桃味8罐套装高度果味酒低度洋酒整箱,40.00元,800+人付款,上海,上海,800
26,广东 广州,动力火车酒鸡尾酒套装苏打酒混合口味300ml*12瓶装3.5度微醺整箱,128.00元,300+人付款,广东,广州,300
27,山东 青岛,【4罐新品尝鲜】大于等于九预调气泡酒0脂微醺鸡尾酒4口味甜果酒,49.00元,1000+人付款,山东,青岛,1000
28,上海,RIO锐澳微醺联名rico预调鸡尾酒330ml*20罐洋气泡酒果酒少女饮料,160.20元,200+人付款,上海,上海,200
29,上海,初气网红硬苏打预调鸡尾酒网红气泡酒微醺少女感白桃果味酒4瓶装,63.80元,6人付款,上海,上海,6
30,山东 济南,美国动力火车24瓶苏打酒整箱装275ml低度网红预调酒吧清爽鸡尾酒,182.00元,100+人付款,山东,济南,100
31,上海,满减 初气网红硬苏打预调鸡尾酒网红气泡酒微醺少女感白桃果味酒,26.00元,3人付款,上海,上海,3
32,上海,彼得美德咖啡酒甜型红葡萄酒750ml红酒瓶装进口鸡尾酒德国正品,188.10元,1人付款,上海,上海,1
33,上海,乌克兰Creamel凯利梅尔草莓味鸡尾酒200ml 奶油酒果酒女士进口,28.00元,0人付款,上海,上海,0
34,上海,Blue Dash布鲁大师15度微醺零糖青瓜风味利口酒1瓶装少女甜酒,138.00元,200+人付款,上海,上海,200
35,浙江 杭州,空卡苏打酒气泡酒低糖果酒低度预调酒鸡尾酒微醺350ml*6瓶装,99.90元,500+人付款,浙江,杭州,500
36,上海,(RiCO潮玩联名）RIO锐澳桃花米酿鸡尾酒气泡鸡尾酒少女果酒整箱,60.00元,800+人付款,上海,上海,800
37,上海,RIO锐澳微醺鸡尾酒预调鸡尾酒330ml*10罐气泡果味酒低度少女士酒,64.40元,700+人付款,上海,上海,700
38,上海,杰克丹尼 威士忌 预调酒 柠檬味苹果味可乐味6瓶装正品鸡尾酒前红,62.00元,400+人付款,上海,上海,400
39,浙江 杭州,空卡苏打酒气泡酒低糖果味果酒低度预调酒鸡尾酒微醺350ml*12瓶装,199.90元,100+人付款,浙江,杭州,100
40,上海,动力火车六种口味酒吧预调酒鸡尾酒300ml整箱24瓶特价促销,153.00元,6人付款,上海,上海,6
41,上海,RIO锐澳微醺鸡尾酒预调鸡尾酒330ml*24罐气泡果味酒低度少女士酒,159.00元,100+人付款,上海,上海,100
42,上海,女神节酒礼盒情人节锐澳RIO微醺鸡尾预调气泡强爽女生果酒整箱,34.00元,700+人付款,上海,上海,700
43,江苏 镇江,RIO锐澳鸡尾酒罐装330ml*24罐3度微醺六口味组合装低度果酒预调酒,138.80元,100+人付款,江苏,镇江,100
44,上海,上海costco美国Kirkland科克兰金色玛格丽特配制酒鸡尾酒1.75L,75.90元,500+人付款,上海,上海,500
45,上海,WAT微醺起泡酒 网红鸡尾酒 果酒女士晚安酒乳酸菌绿茶冻柠6罐装,70.80元,3000+人付款,上海,上海,3000
46,上海,RIO锐澳微醺联名Rio预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,60.20元,500+人付款,上海,上海,500
47,上海,Rekorderlig cider瑞可德林西打酒果酒瓶装女士低度甜酒鸡尾酒6瓶,149.00元,200+人付款,上海,上海,200
52,上海,RIO锐澳预调鸡尾酒8度强爽rio微醺瓶装樱花限定330ml*8罐正品整箱,59.40元,300+人付款,上海,上海,300
53,广东 揭阳,ROL预调鸡尾酒锐奥滋微醺少女果酒洋酒低度酒275ml*6瓶一箱混合装,28.80元,700+人付款,广东,揭阳,700
54,上海,日本进口 三得利HOROYOI和乐怡白桃乳冰柠茶味凤梨鸡尾酒果酒礼物,54.00元,100+人付款,上海,上海,100
55,江苏 镇江,RIO锐澳鸡尾酒乳酸菌伏特加风味330ml*6罐3度微醺系列预调酒果酒,36.80元,400+人付款,江苏,镇江,400
56,河北 秦皇岛,鸡尾酒整箱24瓶装 女士低度水果味酒套装甜酒套餐 预调酒,49.90元,100+人付款,河北,秦皇岛,100
57,上海,【RiCO联名限定】RIO锐澳预调鸡尾酒微醺3度7口味组合330mL*10罐,99.00元,2万+人付款,上海,上海,20000
58,上海,RIO锐澳预调鸡尾酒强爽8度330ml*8罐白桃味气泡酒果酒伏特加基酒,72.00元,3000+人付款,上海,上海,3000
59,上海,RIO锐澳3度微醺7口味330ml*8罐洋酒预调鸡尾酒套装,104.00元,1000+人付款,上海,上海,1000
60,上海,RIO锐澳经典6口味275ml*6果酒洋酒预调鸡尾酒整箱预调酒,140.00元,500+人付款,上海,上海,500
61,上海,RIO锐澳微醺果味大满贯果酒洋酒预调鸡尾酒330ml×10预调酒,99.00元,1000+人付款,上海,上海,1000
62,上海,RIO锐澳清爽加量不加价礼盒330ml*12洋酒预调鸡尾酒,168.00元,300+人付款,上海,上海,300
63,上海,【现货】三得利和乐怡HOROYOI日本进口鸡尾酒6口味全家福350ml*6,99.00元,300+人付款,上海,上海,300
64,浙江 杭州,【直营】日本进口 三得利和乐怡鸡尾酒白桃味350mL*6罐果酒日本酒,99.00元,60人付款,浙江,杭州,60
65,上海,Fourloko四洛克酒预调鸡尾酒美国进口微醺特调酒果味网红酒2瓶装,78.00元,700+人付款,上海,上海,700
66,上海,Fourloko四洛克酒预调鸡尾酒果酒梅子酒进口特调洋酒烈酒十罐装,390.00元,100+人付款,上海,上海,100
67,浙江 杭州,【直营】日本进口三得利和乐怡气乐酒场柠檬沙瓦味350mL*6罐果酒,99.00元,45人付款,浙江,杭州,45
68,上海,RIO锐澳3.8度经典6口味275ml*6罐果酒洋酒预调鸡尾酒整箱预调酒,89.00元,20人付款,上海,上海,20
69,上海,RIO锐澳3度微醺7口味330ml*8罐果酒洋酒预调鸡尾酒,60.00元,12人付款,上海,上海,12
70,上海,RIO锐澳微醺预调鸡尾酒rio微醺锐澳瓶装洋酒果酒275ml*24罐整箱,111.40元,200+人付款,上海,上海,200
71,上海,Creamel凯利梅尔太妃味朗姆预调酒鸡尾酒200ml乌克兰进口女士果酒,28.00元,0人付款,上海,上海,0
72,上海,乌克兰Creamel凯利梅尔蜜瓜味朗姆预调酒鸡尾酒200ml奶油酒女士,28.00元,0人付款,上海,上海,0
73,广东 广州,动力火车鸡尾酒预调酒基酒套装洋酒诱惑300ml*24瓶装整箱苏打酒,248.00元,85人付款,广东,广州,85
74,上海,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,37.50元,400+人付款,上海,上海,400
75,上海,日本三得利和乐怡网红低度预调鸡尾酒 全家福7口味350mL*12罐装,190.00元,200+人付款,上海,上海,200
76,上海,RIO锐澳微醺预调鸡尾酒330ml*20罐rio清爽低度气泡水果酒洋酒整箱,71.20元,200+人付款,上海,上海,200
77,北京,RIO锐澳经典预调鸡尾酒275ml瓶装果酒六种口味,258.00元,30人付款,北京,北京,30
78,上海,【推荐】WAT小方瓶预调鸡尾酒 威士忌低度酒晚安酒果味女生酒x3瓶,145.00元,100+人付款,上海,上海,100
79,上海,Blue Dash布鲁大师15度微醺零糖青瓜风味利口酒2瓶装少女甜酒,276.00元,55人付款,上海,上海,55
80,河北 秦皇岛,新日期 欧曼莎鸡尾酒鸡尾酒预调RTO鸡尾酒275ml*24瓶整箱京东快递,98.00元,100+人付款,河北,秦皇岛,100
81,上海,RIO锐澳微醺乳酸菌全系列小美好330ml低度气泡鸡尾酒少女果酒整箱,54.00元,500+人付款,上海,上海,500
82,四川 泸州,鸡尾酒整箱24瓶套装女士饮料预调果酒洋酒低度酒学生水果味酒正品,89.80元,47人付款,四川,泸州,47
83,上海,和乐怡HOROYOI三得利日本进口低度微醺预调酒鸡尾酒果酒白桃350ml,65.00元,100+人付款,上海,上海,100
84,上海,FOUR LOKO美国进口四洛克预调鸡尾酒695ml水蜜桃西瓜柑橘草莓柠檬,39.00元,300+人付款,上海,上海,300
85,江苏 南京,RIO锐澳鸡尾酒3度微熏系列330ml细罐10种口味可选洋酒预调鸡尾酒,34.80元,500+人付款,江苏,南京,500
86,上海,日本进口三得利和乐怡缤纷6口味350ml*6罐果酒预调鸡尾酒组合装,95.00元,1000+人付款,上海,上海,1000
87,上海,RIO锐澳鸡尾酒劲爽无糖气泡酒零度强爽9度8度鸡尾酒果酒年货强爽,65.60元,100+人付款,上海,上海,100
88,河北 秦皇岛,24瓶装伏特加预调鸡尾酒低度水果味酒套餐光瓶整箱低价包邮,56.60元,89人付款,河北,秦皇岛,89
89,广东 广州,动力火车苏打酒鸡尾酒洋酒套装混合300ml*6瓶装整箱低度酒正品,65.00元,200+人付款,广东,广州,200
90,广东 揭阳,网红24瓶装微醺饮料鸡尾酒青少年女士果酒各式酒水白橙糖微型气,109.60元,100+人付款,广东,揭阳,100
